,first_name,family_name,party,electorate,sitting,website,twitter,facebook,instagram
Tony O'Gorman,Tony,O'Gorman,ALP,Moore,False,,,laborformoore,
Tony Pasin,Tony,Pasin,LIB,Barker,True,https://www.tonypasin.com/,tonypasin,tonypasinmp,
Tony Pecora,Tony,Pecora,UAP,Melbourne,False,,,tonypecorauap,
Tony Pettitt,Tony,Pettitt,UAP,Macquarie,False,,,macquarie-uap-381246375762156,
Tony Smith,Tony,Smith,LIB,Casey,True,,,tonysmithmp,
Tony Zappia,Tony,Zappia,ALP,Makin,True,,,,
Tracey Bell,Tracey,Bell,ALP,Moncrieff,False,,,traceybelllabor,
Tracey Burton,Tracey,Burton,GRN,Fisher,False,https://greens.org.au/qld/person/tracy-burton,,tracyburton.greens,
Travis Barker,Travis,Barker,AJP,Casey,False,https://www.ajpvic.org.au/2019_federal_election_candidates,,,
Travis Carter,Travis,Carter,ONP,Brand,False,https://www.onenation.org.au/our-team/travis-carter/,,carterforbrand,
Trent Zimmerman,Trent,Zimmerman,LIB,North Sydney,True,,,trentzimmerman,
Trevor Evans,Trevor,Evans,LNP,Brisbane,True,,,trevorevansbne,
Trevor Gray,Trevor,Gray,UAP,Fisher,False,,,trevorygrayuap,
Trevor Jones,Trevor,Jones,IND,Boothby,False,http://www.trevorjonesforboothby.com/,trmj012,trevor-jones-independent-for-boothby-554705301678181,
Troy Kay,Troy,Kay,ALP,Groom,False,https://www.alp.org.au/our-people/our-people/troy-kay/,,,
Tyler Walsh,Tyler,Walsh,ONP,Moore,False,https://www.onenation.org.au/our-team/tyler-walsh/,,walshformoore,
Vaughan Williams,Vaughan,Williams,ONP,Bendigo,False,https://www.onenation.org.au/our-team/vaughan-williams/,,williamsforbendigo,
Vince Connelly,Vince,Connelly,LIB,Stirling,False,,,vince4stirling,
Vinita Costantino,Vinita,Costantino,AJP,Deakin,False,https://www.ajpvic.org.au/2019_federal_election_candidates,,,
Wade Rothery,Wade,Rothery,ONP,Capricornia,False,https://www.onenation.org.au/our-team/wade-rothery-capricornia/,,wade.rothery,
Warnar Spyker,Warnar,Spyker,AUC,Burt,False,,,,
Warren Entsch,Warren,Entsch,LNP,Leichhardt,True,https://www.warrenentsch.com.au/,,warrenentschmp,warren.entsch.mp
